数据编号,评判维度,预测分数
TE0001,规范性,3.509333333333333
TE0002,流畅性,3.1726666666666667
TE0003,规范性,3.509333333333333
TE0004,流畅性,3.1726666666666667
TE0005,流畅性,3.1726666666666667
TE0006,流畅性,3.1726666666666667
TE0007,规范性,3.509333333333333
TE0008,规范性,3.509333333333333
TE0009,流畅性,3.1726666666666667
TE0010,流畅性,3.1726666666666667
TE0011,规范性,3.509333333333333
TE0012,流畅性,3.1726666666666667
TE0013,流畅性,3.1726666666666667
TE0014,规范性,3.509333333333333
TE0015,规范性,3.509333333333333
TE0016,规范性,3.509333333333333
TE0017,流畅性,3.1726666666666667
TE0018,流畅性,3.1726666666666667
TE0019,规范性,3.509333333333333
TE0020,流畅性,3.1726666666666667
TE0021,流畅性,3.1726666666666667
TE0022,流畅性,3.1726666666666667
TE0023,规范性,3.509333333333333
TE0024,规范性,3.509333333333333
TE0025,规范性,3.509333333333333
TE0026,流畅性,3.1726666666666667
TE0027,规范性,3.509333333333333
TE0028,流畅性,3.1726666666666667
TE0029,规范性,3.509333333333333
TE0030,规范性,3.509333333333333
TE0031,流畅性,3.1726666666666667
TE0032,流畅性,3.1726666666666667
TE0033,规范性,3.509333333333333
TE0034,流畅性,3.1726666666666667
TE0035,流畅性,3.1726666666666667
TE0036,规范性,3.509333333333333
TE0037,规范性,3.509333333333333
TE0038,规范性,3.509333333333333
TE0039,流畅性,3.1726666666666667
TE0040,流畅性,3.1726666666666667
TE0041,规范性,3.509333333333333
TE0042,流畅性,3.1726666666666667
TE0043,流畅性,3.1726666666666667
TE0044,规范性,3.509333333333333
TE0045,规范性,3.509333333333333
TE0046,流畅性,3.1726666666666667
TE0047,流畅性,3.1726666666666667
TE0048,规范性,3.509333333333333
TE0049,规范性,3.509333333333333
TE0050,规范性,3.509333333333333
TE0051,流畅性,3.1726666666666667
TE0052,规范性,3.509333333333333
TE0053,规范性,3.509333333333333
TE0054,流畅性,3.1726666666666667
TE0055,规范性,3.509333333333333
TE0056,流畅性,3.1726666666666667
TE0057,流畅性,3.1726666666666667
TE0058,规范性,3.509333333333333
TE0059,流畅性,3.1726666666666667
TE0060,流畅性,3.1726666666666667
TE0061,流畅性,3.1726666666666667
TE0062,规范性,3.509333333333333
TE0063,规范性,3.509333333333333
TE0064,规范性,3.509333333333333
TE0065,流畅性,3.1726666666666667
TE0066,流畅性,3.1726666666666667
TE0067,规范性,3.509333333333333
TE0068,规范性,3.509333333333333
TE0069,规范性,3.509333333333333
TE0070,规范性,3.509333333333333
TE0071,规范性,3.509333333333333
TE0072,流畅性,3.1726666666666667
TE0073,规范性,3.509333333333333
TE0074,规范性,3.509333333333333
TE0075,规范性,3.509333333333333
TE0076,流畅性,3.1726666666666667
TE0077,流畅性,3.1726666666666667
TE0078,规范性,3.509333333333333
TE0079,规范性,3.509333333333333
TE0080,流畅性,3.1726666666666667
TE0081,规范性,3.509333333333333
TE0082,规范性,3.509333333333333
TE0083,规范性,3.509333333333333
TE0084,流畅性,3.1726666666666667
TE0085,规范性,3.509333333333333
TE0086,流畅性,3.1726666666666667
TE0087,流畅性,3.1726666666666667
TE0088,规范性,3.509333333333333
TE0089,规范性,3.509333333333333
TE0090,流畅性,3.1726666666666667
TE0091,流畅性,3.1726666666666667
TE0092,规范性,3.509333333333333
TE0093,规范性,3.509333333333333
TE0094,流畅性,3.1726666666666667
TE0095,流畅性,3.1726666666666667
TE0096,流畅性,3.1726666666666667
TE0097,规范性,3.509333333333333
TE0098,规范性,3.509333333333333
TE0099,流畅性,3.1726666666666667
TE0100,规范性,3.509333333333333
TE0101,规范性,3.509333333333333
TE0102,流畅性,3.1726666666666667
TE0103,流畅性,3.1726666666666667
TE0104,规范性,3.509333333333333
TE0105,规范性,3.509333333333333
TE0106,流畅性,3.1726666666666667
TE0107,流畅性,3.1726666666666667
TE0108,规范性,3.509333333333333
TE0109,规范性,3.509333333333333
TE0110,流畅性,3.1726666666666667
TE0111,规范性,3.509333333333333
TE0112,流畅性,3.1726666666666667
TE0113,流畅性,3.1726666666666667
TE0114,规范性,3.509333333333333
TE0115,流畅性,3.1726666666666667
TE0116,规范性,3.509333333333333
TE0117,流畅性,3.1726666666666667
TE0118,规范性,3.509333333333333
TE0119,流畅性,3.1726666666666667
TE0120,流畅性,3.1726666666666667
TE0121,流畅性,3.1726666666666667
TE0122,流畅性,3.1726666666666667
TE0123,规范性,3.509333333333333
TE0124,流畅性,3.1726666666666667
TE0125,规范性,3.509333333333333
TE0126,规范性,3.509333333333333
TE0127,规范性,3.509333333333333
TE0128,流畅性,3.1726666666666667
TE0129,流畅性,3.1726666666666667
TE0130,流畅性,3.1726666666666667
TE0131,流畅性,3.1726666666666667
TE0132,流畅性,3.1726666666666667
TE0133,规范性,3.509333333333333
TE0134,规范性,3.509333333333333
TE0135,流畅性,3.1726666666666667
TE0136,流畅性,3.1726666666666667
TE0137,流畅性,3.1726666666666667
TE0138,规范性,3.509333333333333
TE0139,流畅性,3.1726666666666667
TE0140,流畅性,3.1726666666666667
TE0141,流畅性,3.1726666666666667
TE0142,流畅性,3.1726666666666667
TE0143,规范性,3.509333333333333
TE0144,流畅性,3.1726666666666667
TE0145,规范性,3.509333333333333
TE0146,规范性,3.509333333333333
TE0147,流畅性,3.1726666666666667
TE0148,流畅性,3.1726666666666667
TE0149,规范性,3.509333333333333
TE0150,规范性,3.509333333333333
TE0151,流畅性,3.1726666666666667
TE0152,规范性,3.509333333333333
TE0153,规范性,3.509333333333333
TE0154,流畅性,3.1726666666666667
TE0155,规范性,3.509333333333333
TE0156,规范性,3.509333333333333
TE0157,流畅性,3.1726666666666667
TE0158,规范性,3.509333333333333
TE0159,规范性,3.509333333333333
TE0160,规范性,3.509333333333333
TE0161,流畅性,3.1726666666666667
TE0162,规范性,3.509333333333333
TE0163,流畅性,3.1726666666666667
TE0164,规范性,3.509333333333333
TE0165,流畅性,3.1726666666666667
TE0166,规范性,3.509333333333333
TE0167,规范性,3.509333333333333
TE0168,规范性,3.509333333333333
TE0169,流畅性,3.1726666666666667
TE0170,流畅性,3.1726666666666667
TE0171,流畅性,3.1726666666666667
TE0172,流畅性,3.1726666666666667
TE0173,流畅性,3.1726666666666667
TE0174,规范性,3.509333333333333
TE0175,流畅性,3.1726666666666667
TE0176,流畅性,3.1726666666666667
TE0177,规范性,3.509333333333333
TE0178,流畅性,3.1726666666666667
TE0179,规范性,3.509333333333333
TE0180,流畅性,3.1726666666666667
TE0181,流畅性,3.1726666666666667
TE0182,规范性,3.509333333333333
TE0183,规范性,3.509333333333333
TE0184,规范性,3.509333333333333
TE0185,流畅性,3.1726666666666667
TE0186,流畅性,3.1726666666666667
TE0187,流畅性,3.1726666666666667
TE0188,流畅性,3.1726666666666667
TE0189,规范性,3.509333333333333
TE0190,流畅性,3.1726666666666667
TE0191,规范性,3.509333333333333
TE0192,流畅性,3.1726666666666667
TE0193,规范性,3.509333333333333
TE0194,规范性,3.509333333333333
TE0195,流畅性,3.1726666666666667
TE0196,流畅性,3.1726666666666667
TE0197,流畅性,3.1726666666666667
TE0198,流畅性,3.1726666666666667
TE0199,流畅性,3.1726666666666667
TE0200,规范性,3.509333333333333
TE0201,规范性,3.509333333333333
TE0202,规范性,3.509333333333333
TE0203,规范性,3.509333333333333
TE0204,流畅性,3.1726666666666667
TE0205,规范性,3.509333333333333
TE0206,规范性,3.509333333333333
TE0207,规范性,3.509333333333333
TE0208,规范性,3.509333333333333
TE0209,规范性,3.509333333333333
TE0210,流畅性,3.1726666666666667
TE0211,规范性,3.509333333333333
TE0212,流畅性,3.1726666666666667
TE0213,流畅性,3.1726666666666667
TE0214,流畅性,3.1726666666666667
TE0215,规范性,3.509333333333333
TE0216,规范性,3.509333333333333
TE0217,规范性,3.509333333333333
TE0218,规范性,3.509333333333333
TE0219,规范性,3.509333333333333
TE0220,流畅性,3.1726666666666667
TE0221,规范性,3.509333333333333
TE0222,流畅性,3.1726666666666667
TE0223,流畅性,3.1726666666666667
TE0224,规范性,3.509333333333333
TE0225,流畅性,3.1726666666666667
TE0226,规范性,3.509333333333333
TE0227,流畅性,3.1726666666666667
TE0228,流畅性,3.1726666666666667
TE0229,规范性,3.509333333333333
TE0230,规范性,3.509333333333333
TE0231,规范性,3.509333333333333
TE0232,规范性,3.509333333333333
TE0233,规范性,3.509333333333333
TE0234,流畅性,3.1726666666666667
TE0235,规范性,3.509333333333333
TE0236,流畅性,3.1726666666666667
TE0237,流畅性,3.1726666666666667
TE0238,规范性,3.509333333333333
TE0239,流畅性,3.1726666666666667
TE0240,规范性,3.509333333333333
TE0241,流畅性,3.1726666666666667
TE0242,流畅性,3.1726666666666667
TE0243,流畅性,3.1726666666666667
TE0244,流畅性,3.1726666666666667
TE0245,流畅性,3.1726666666666667
TE0246,规范性,3.509333333333333
TE0247,规范性,3.509333333333333
TE0248,规范性,3.509333333333333
TE0249,流畅性,3.1726666666666667
TE0250,流畅性,3.1726666666666667
TE0251,流畅性,3.1726666666666667
TE0252,规范性,3.509333333333333
TE0253,规范性,3.509333333333333
TE0254,流畅性,3.1726666666666667
TE0255,流畅性,3.1726666666666667
TE0256,流畅性,3.1726666666666667
TE0257,流畅性,3.1726666666666667
TE0258,流畅性,3.1726666666666667
TE0259,流畅性,3.1726666666666667
TE0260,规范性,3.509333333333333
TE0261,流畅性,3.1726666666666667
TE0262,流畅性,3.1726666666666667
TE0263,规范性,3.509333333333333
TE0264,规范性,3.509333333333333
TE0265,规范性,3.509333333333333
TE0266,规范性,3.509333333333333
TE0267,规范性,3.509333333333333
TE0268,流畅性,3.1726666666666667
TE0269,规范性,3.509333333333333
TE0270,流畅性,3.1726666666666667
TE0271,流畅性,3.1726666666666667
TE0272,规范性,3.509333333333333
TE0273,规范性,3.509333333333333
TE0274,流畅性,3.1726666666666667
TE0275,流畅性,3.1726666666666667
TE0276,流畅性,3.1726666666666667
TE0277,规范性,3.509333333333333
TE0278,流畅性,3.1726666666666667
TE0279,规范性,3.509333333333333
TE0280,流畅性,3.1726666666666667
TE0281,流畅性,3.1726666666666667
TE0282,规范性,3.509333333333333
TE0283,规范性,3.509333333333333
TE0284,规范性,3.509333333333333
TE0285,规范性,3.509333333333333
TE0286,流畅性,3.1726666666666667
TE0287,流畅性,3.1726666666666667
TE0288,规范性,3.509333333333333
TE0289,规范性,3.509333333333333
TE0290,规范性,3.509333333333333
TE0291,流畅性,3.1726666666666667
TE0292,流畅性,3.1726666666666667
TE0293,流畅性,3.1726666666666667
TE0294,规范性,3.509333333333333
TE0295,流畅性,3.1726666666666667
TE0296,流畅性,3.1726666666666667
TE0297,流畅性,3.1726666666666667
TE0298,规范性,3.509333333333333
TE0299,规范性,3.509333333333333
TE0300,规范性,3.509333333333333
TE0301,规范性,3.509333333333333
TE0302,流畅性,3.1726666666666667
TE0303,规范性,3.509333333333333
TE0304,流畅性,3.1726666666666667
TE0305,流畅性,3.1726666666666667
TE0306,流畅性,3.1726666666666667
TE0307,流畅性,3.1726666666666667
TE0308,规范性,3.509333333333333
TE0309,规范性,3.509333333333333
TE0310,规范性,3.509333333333333
TE0311,流畅性,3.1726666666666667
TE0312,流畅性,3.1726666666666667
TE0313,流畅性,3.1726666666666667
TE0314,规范性,3.509333333333333
TE0315,流畅性,3.1726666666666667
TE0316,规范性,3.509333333333333
TE0317,规范性,3.509333333333333
TE0318,流畅性,3.1726666666666667
TE0319,流畅性,3.1726666666666667
TE0320,流畅性,3.1726666666666667
TE0321,流畅性,3.1726666666666667
TE0322,流畅性,3.1726666666666667
TE0323,流畅性,3.1726666666666667
TE0324,规范性,3.509333333333333
TE0325,规范性,3.509333333333333
TE0326,流畅性,3.1726666666666667
TE0327,流畅性,3.1726666666666667
TE0328,流畅性,3.1726666666666667
TE0329,流畅性,3.1726666666666667
TE0330,流畅性,3.1726666666666667
TE0331,流畅性,3.1726666666666667
TE0332,规范性,3.509333333333333
TE0333,流畅性,3.1726666666666667
TE0334,规范性,3.509333333333333
TE0335,流畅性,3.1726666666666667
TE0336,规范性,3.509333333333333
TE0337,规范性,3.509333333333333
TE0338,流畅性,3.1726666666666667
TE0339,流畅性,3.1726666666666667
TE0340,流畅性,3.1726666666666667
TE0341,流畅性,3.1726666666666667
TE0342,流畅性,3.1726666666666667
TE0343,规范性,3.509333333333333
TE0344,流畅性,3.1726666666666667
TE0345,规范性,3.509333333333333
TE0346,规范性,3.509333333333333
TE0347,流畅性,3.1726666666666667
TE0348,流畅性,3.1726666666666667
TE0349,规范性,3.509333333333333
TE0350,流畅性,3.1726666666666667
TE0351,流畅性,3.1726666666666667
TE0352,流畅性,3.1726666666666667
TE0353,规范性,3.509333333333333
TE0354,流畅性,3.1726666666666667
TE0355,规范性,3.509333333333333
TE0356,规范性,3.509333333333333
TE0357,流畅性,3.1726666666666667
TE0358,流畅性,3.1726666666666667
TE0359,规范性,3.509333333333333
TE0360,规范性,3.509333333333333
TE0361,规范性,3.509333333333333
TE0362,规范性,3.509333333333333
TE0363,流畅性,3.1726666666666667
TE0364,流畅性,3.1726666666666667
TE0365,规范性,3.509333333333333
TE0366,规范性,3.509333333333333
TE0367,规范性,3.509333333333333
TE0368,规范性,3.509333333333333
TE0369,规范性,3.509333333333333
TE0370,流畅性,3.1726666666666667
TE0371,流畅性,3.1726666666666667
TE0372,规范性,3.509333333333333
TE0373,规范性,3.509333333333333
TE0374,规范性,3.509333333333333
TE0375,规范性,3.509333333333333
TE0376,流畅性,3.1726666666666667
TE0377,规范性,3.509333333333333
TE0378,流畅性,3.1726666666666667
TE0379,规范性,3.509333333333333
TE0380,规范性,3.509333333333333
TE0381,流畅性,3.1726666666666667
TE0382,流畅性,3.1726666666666667
TE0383,流畅性,3.1726666666666667
TE0384,流畅性,3.1726666666666667
TE0385,流畅性,3.1726666666666667
TE0386,规范性,3.509333333333333
TE0387,规范性,3.509333333333333
TE0388,流畅性,3.1726666666666667
TE0389,规范性,3.509333333333333
TE0390,流畅性,3.1726666666666667
TE0391,规范性,3.509333333333333
TE0392,规范性,3.509333333333333
TE0393,流畅性,3.1726666666666667
TE0394,规范性,3.509333333333333
TE0395,规范性,3.509333333333333
TE0396,流畅性,3.1726666666666667
TE0397,流畅性,3.1726666666666667
TE0398,规范性,3.509333333333333
TE0399,流畅性,3.1726666666666667
TE0400,规范性,3.509333333333333
TE0401,流畅性,3.1726666666666667
TE0402,流畅性,3.1726666666666667
TE0403,流畅性,3.1726666666666667
TE0404,规范性,3.509333333333333
TE0405,流畅性,3.1726666666666667
TE0406,流畅性,3.1726666666666667
TE0407,流畅性,3.1726666666666667
TE0408,流畅性,3.1726666666666667
TE0409,规范性,3.509333333333333
TE0410,规范性,3.509333333333333
TE0411,规范性,3.509333333333333
TE0412,流畅性,3.1726666666666667
TE0413,规范性,3.509333333333333
TE0414,流畅性,3.1726666666666667
TE0415,规范性,3.509333333333333
TE0416,规范性,3.509333333333333
TE0417,规范性,3.509333333333333
TE0418,流畅性,3.1726666666666667
TE0419,规范性,3.509333333333333
TE0420,流畅性,3.1726666666666667
TE0421,流畅性,3.1726666666666667
TE0422,流畅性,3.1726666666666667
TE0423,流畅性,3.1726666666666667
TE0424,流畅性,3.1726666666666667
TE0425,流畅性,3.1726666666666667
TE0426,流畅性,3.1726666666666667
TE0427,规范性,3.509333333333333
TE0428,流畅性,3.1726666666666667
TE0429,流畅性,3.1726666666666667
TE0430,流畅性,3.1726666666666667
TE0431,规范性,3.509333333333333
TE0432,规范性,3.509333333333333
TE0433,规范性,3.509333333333333
TE0434,流畅性,3.1726666666666667
TE0435,规范性,3.509333333333333
TE0436,流畅性,3.1726666666666667
TE0437,规范性,3.509333333333333
TE0438,流畅性,3.1726666666666667
TE0439,流畅性,3.1726666666666667
TE0440,流畅性,3.1726666666666667
TE0441,规范性,3.509333333333333
TE0442,规范性,3.509333333333333
TE0443,流畅性,3.1726666666666667
TE0444,规范性,3.509333333333333
TE0445,流畅性,3.1726666666666667
TE0446,规范性,3.509333333333333
TE0447,流畅性,3.1726666666666667
TE0448,规范性,3.509333333333333
TE0449,规范性,3.509333333333333
TE0450,流畅性,3.1726666666666667
TE0451,流畅性,3.1726666666666667
TE0452,流畅性,3.1726666666666667
TE0453,规范性,3.509333333333333
TE0454,流畅性,3.1726666666666667
TE0455,规范性,3.509333333333333
TE0456,规范性,3.509333333333333
TE0457,流畅性,3.1726666666666667
TE0458,流畅性,3.1726666666666667
TE0459,规范性,3.509333333333333
TE0460,规范性,3.509333333333333
TE0461,流畅性,3.1726666666666667
TE0462,流畅性,3.1726666666666667
TE0463,流畅性,3.1726666666666667
TE0464,流畅性,3.1726666666666667
TE0465,流畅性,3.1726666666666667
TE0466,流畅性,3.1726666666666667
TE0467,流畅性,3.1726666666666667
TE0468,规范性,3.509333333333333
TE0469,规范性,3.509333333333333
TE0470,规范性,3.509333333333333
TE0471,流畅性,3.1726666666666667
TE0472,规范性,3.509333333333333
TE0473,规范性,3.509333333333333
TE0474,流畅性,3.1726666666666667
TE0475,流畅性,3.1726666666666667
TE0476,流畅性,3.1726666666666667
TE0477,流畅性,3.1726666666666667
TE0478,规范性,3.509333333333333
TE0479,流畅性,3.1726666666666667
TE0480,规范性,3.509333333333333
TE0481,规范性,3.509333333333333
TE0482,规范性,3.509333333333333
TE0483,规范性,3.509333333333333
TE0484,流畅性,3.1726666666666667
TE0485,流畅性,3.1726666666666667
TE0486,流畅性,3.1726666666666667
TE0487,规范性,3.509333333333333
TE0488,流畅性,3.1726666666666667
TE0489,规范性,3.509333333333333
TE0490,流畅性,3.1726666666666667
TE0491,规范性,3.509333333333333
TE0492,流畅性,3.1726666666666667
TE0493,规范性,3.509333333333333
TE0494,流畅性,3.1726666666666667
TE0495,流畅性,3.1726666666666667
TE0496,流畅性,3.1726666666666667
TE0497,流畅性,3.1726666666666667
TE0498,规范性,3.509333333333333
TE0499,流畅性,3.1726666666666667
TE0500,流畅性,3.1726666666666667
TE0501,规范性,3.509333333333333
TE0502,规范性,3.509333333333333
TE0503,流畅性,3.1726666666666667
TE0504,规范性,3.509333333333333
TE0505,规范性,3.509333333333333
TE0506,流畅性,3.1726666666666667
TE0507,流畅性,3.1726666666666667
TE0508,规范性,3.509333333333333
TE0509,流畅性,3.1726666666666667
TE0510,流畅性,3.1726666666666667
TE0511,流畅性,3.1726666666666667
TE0512,流畅性,3.1726666666666667
TE0513,流畅性,3.1726666666666667
TE0514,规范性,3.509333333333333
TE0515,流畅性,3.1726666666666667
TE0516,规范性,3.509333333333333
TE0517,规范性,3.509333333333333
TE0518,规范性,3.509333333333333
TE0519,流畅性,3.1726666666666667
TE0520,规范性,3.509333333333333
TE0521,流畅性,3.1726666666666667
TE0522,规范性,3.509333333333333
TE0523,规范性,3.509333333333333
TE0524,流畅性,3.1726666666666667
TE0525,规范性,3.509333333333333
TE0526,流畅性,3.1726666666666667
TE0527,流畅性,3.1726666666666667
TE0528,流畅性,3.1726666666666667
TE0529,规范性,3.509333333333333
TE0530,规范性,3.509333333333333
TE0531,规范性,3.509333333333333
TE0532,流畅性,3.1726666666666667
TE0533,流畅性,3.1726666666666667
TE0534,流畅性,3.1726666666666667
TE0535,规范性,3.509333333333333
TE0536,规范性,3.509333333333333
TE0537,流畅性,3.1726666666666667
TE0538,规范性,3.509333333333333
TE0539,规范性,3.509333333333333
TE0540,规范性,3.509333333333333
TE0541,流畅性,3.1726666666666667
TE0542,流畅性,3.1726666666666667
TE0543,规范性,3.509333333333333
TE0544,规范性,3.509333333333333
TE0545,流畅性,3.1726666666666667
TE0546,流畅性,3.1726666666666667
TE0547,规范性,3.509333333333333
TE0548,流畅性,3.1726666666666667
TE0549,流畅性,3.1726666666666667
TE0550,规范性,3.509333333333333
TE0551,规范性,3.509333333333333
TE0552,规范性,3.509333333333333
TE0553,规范性,3.509333333333333
TE0554,规范性,3.509333333333333
TE0555,规范性,3.509333333333333
TE0556,规范性,3.509333333333333
TE0557,流畅性,3.1726666666666667
TE0558,流畅性,3.1726666666666667
TE0559,流畅性,3.1726666666666667
TE0560,规范性,3.509333333333333
TE0561,规范性,3.509333333333333
TE0562,规范性,3.509333333333333
TE0563,流畅性,3.1726666666666667
TE0564,规范性,3.509333333333333
TE0565,规范性,3.509333333333333
TE0566,流畅性,3.1726666666666667
TE0567,规范性,3.509333333333333
TE0568,流畅性,3.1726666666666667
TE0569,规范性,3.509333333333333
TE0570,流畅性,3.1726666666666667
TE0571,流畅性,3.1726666666666667
TE0572,规范性,3.509333333333333
TE0573,规范性,3.509333333333333
TE0574,规范性,3.509333333333333
TE0575,流畅性,3.1726666666666667
TE0576,规范性,3.509333333333333
TE0577,流畅性,3.1726666666666667
TE0578,规范性,3.509333333333333
TE0579,流畅性,3.1726666666666667
TE0580,流畅性,3.1726666666666667
TE0581,流畅性,3.1726666666666667
